# fixed mirror figure, mode=mean_cos, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
167,6673.480970787809,50690.1205300545,5.925071783237303e-09,-1.1922181684529005e-06,2.1043458901092766e-07
168,3.1306579051459398e-12,51127.5235819115,-3.371853998346698e-13,-1.1918052945659155e-06,2.1137025905185242e-07
169,-6673.4809707878,50690.1205300545,-5.925647256148494e-09,-1.1922182200280142e-06,2.1043466682803185e-07
170,-13232.7768319269,49385.3954619717,-1.2127992496244359e-08,-1.1934314371053708e-06,2.0695564675315274e-07
171,-19565.6562126529,47235.6725853162,-2.0021305607874557e-08,-1.1953683652219776e-06,2.0111860973901676e-07
172,-25563.761790955698,44277.734254523304,-2.922762245251163e-08,-1.1979014578665413e-06,1.929152310479313e-07
173,-31124.4643174015,40562.191614528405,-4.321409923901545e-08,-1.200853377648634e-06,1.793442628222915e-07
174,-36152.6186300447,36152.6186300447,-6.39544738750952e-08,-1.2040009287749881e-06,1.6669640926773383e-07
175,-40562.191614528405,31124.4643174015,-9.164186822213653e-08,-1.207084311684355e-06,1.3389998376685725e-07
176,-44277.734254523304,25563.761790955698,-9.356063218130079e-08,-1.2098246392933264e-06,9.38470001013098e-08
177,-47235.6725853162,19565.6562126529,-6.123708385791779e-08,-1.2119510216359128e-06,7.397823668377048e-08
178,-49385.3954619717,13232.7768319269,-3.5629185338737724e-08,-1.213233496289905e-06,7.399511717021095e-08
179,-50690.1205300545,6673.48097078776,-2.2344995305607017e-08,-1.213512308111346e-06,7.513458622687828e-08
180,-51127.5235819115,-3.9149047287871204e-11,-1.3816495895672562e-08,-1.2127146771904742e-06,7.019676997293688e-08
181,-50690.1205300545,-6673.48097078784,-6.1186933642503896e-09,-1.2108582495605664e-06,5.777490043336692e-08
182,-49385.3954619717,-13232.776831927,7.571983315696134e-09,-1.2080463854209908e-06,4.1275330386299014e-08
183,-47235.6725853162,-19565.656212653,3.0092943023421674e-08,-1.204458431011321e-06,5.65600747867387e-08
